codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
312610,202406,2565,1663413.0,650.28
312620,202406,1628,1127714.0,693.55
312630,202406,156,108812.0,697.51
312640,202406,300,198116.0,660.39
312650,202406,1157,752586.0,650.46
312660,202406,813,536591.0,660.01
312670,202406,4032,2690985.0,667.41
312675,202406,803,539606.0,671.99
312680,202406,1141,811634.0,711.34
312690,202406,1497,988570.0,661.69
312695,202406,746,503515.0,674.95
312700,202406,1205,803470.0,669.56
312705,202406,1460,990990.0,679.23
312707,202406,727,502444.0,691.12
312710,202406,3209,2172428.0,678.04
312720,202406,563,364789.0,652.57
312730,202406,800,578256.0,724.63
312733,202406,737,489153.0,663.71
312735,202406,433,286698.0,662.12
312737,202406,417,275362.0,660.34
312738,202406,423,282283.0,667.34
312740,202406,174,112186.0,644.75
312750,202406,681,438171.0,644.37
312760,202406,853,581469.0,681.68
312770,202406,17504,11650026.0,667.7
312780,202406,1837,1230066.0,669.61
312790,202406,34,20745.0,610.15
312800,202406,3635,2435560.0,670.58
312810,202406,809,561916.0,694.58
312820,202406,1075,712219.0,662.53
312825,202406,1006,670289.0,666.29
312830,202406,1093,750938.0,688.3
312840,202406,756,494109.0,655.32
312850,202406,451,289865.0,642.72
312860,202406,501,338120.0,674.89
312870,202406,2145,1421519.0,662.71
312880,202406,806,555748.0,689.51
312890,202406,896,621020.0,693.1
312900,202406,735,468863.0,637.91
312910,202406,481,321763.0,668.95
312920,202406,333,211764.0,641.71
312930,202406,1303,866151.0,665.25
312940,202406,548,362574.0,661.63
312950,202406,1763,1211865.0,687.78
312960,202406,1275,870804.0,684.06
312965,202406,963,652701.0,677.78
312970,202406,866,627178.0,726.74
312980,202406,13431,8694571.0,647.5
312990,202406,243,157588.0,651.19
313000,202406,311,203320.0,653.76
313005,202406,1650,1142807.0,692.61
313010,202406,3605,2391859.0,665.89
313020,202406,406,273399.0,673.4
313030,202406,532,341168.0,641.29
313040,202406,536,356020.0,664.22
313050,202406,698,475431.0,681.13
313055,202406,1258,851186.0,676.62
313060,202406,376,248463.0,660.81
313065,202406,1318,889557.0,675.44
313070,202406,461,297491.0,645.32
313080,202406,186,123691.0,665.01
313090,202406,3534,2346564.0,664.0
313100,202406,776,509059.0,656.0
313110,202406,793,515122.0,652.05
313115,202406,1457,968896.0,665.45
313120,202406,2287,1542706.0,674.55
313130,202406,16429,10781052.0,658.3
313140,202406,421,280423.0,666.09
313150,202406,479,303119.0,632.82
313160,202406,715,490817.0,687.42
313170,202406,5435,3557419.0,655.38
313180,202406,1523,1016165.0,667.65
313190,202406,2212,1466600.0,664.22
313200,202406,729,484065.0,664.01
313210,202406,2853,1967540.0,689.88
313220,202406,844,548650.0,650.06
313230,202406,2059,1440304.0,699.86
313240,202406,5116,3416344.0,667.78
313250,202406,3584,2434310.0,679.6
313260,202406,338,221171.0,654.35
313270,202406,3762,2530957.0,672.77
313280,202406,247,165587.0,670.39
313290,202406,655,444271.0,679.31
313300,202406,997,676591.0,680.68
313310,202406,682,452073.0,662.86
313320,202406,688,476140.0,694.08
313330,202406,2375,1598518.0,673.06
313340,202406,1046,690552.0,661.45
313350,202406,1207,753964.0,624.66
313360,202406,837,547898.0,654.6
313370,202406,579,379800.0,658.23
313375,202406,590,383321.0,651.91
313380,202406,3134,2067989.0,661.97
313390,202406,590,398361.0,675.19
313400,202406,2421,1611764.0,666.29
313410,202406,879,591450.0,672.87
313420,202406,5712,3765281.0,659.53
313430,202406,743,501545.0,675.94
313440,202406,3557,2407512.0,677.03
313450,202406,279,173932.0,634.79
313460,202406,1437,989363.0,688.49
313470,202406,1867,1267063.0,678.66
313480,202406,515,365458.0,709.63
313490,202406,937,615856.0,657.97
313500,202406,251,163690.0,652.15
313505,202406,6056,4321919.0,713.66
313507,202406,712,479962.0,674.1
313510,202406,8587,5700229.0,664.13
313520,202406,11203,7724185.0,689.72
313530,202406,226,143156.0,633.43
313535,202406,1431,955977.0,668.05
313540,202406,493,316848.0,645.31
313545,202406,719,494028.0,689.02
313550,202406,1610,1091457.0,677.92
313560,202406,1855,1212872.0,654.19
313570,202406,599,398082.0,665.69
313580,202406,3617,2464534.0,681.38
313590,202406,650,426284.0,657.85
313600,202406,3351,2259908.0,674.4
313610,202406,612,390780.0,638.53
313620,202406,3641,2434985.0,670.06
313630,202406,5137,3472698.0,676.28
313640,202406,717,490200.0,683.68
313650,202406,1017,699683.0,687.99
313652,202406,618,411726.0,666.22
313655,202406,631,402632.0,639.1
313657,202406,639,431464.0,676.28
313660,202406,827,547465.0,662.79
313665,202406,3124,2059168.0,659.14
313670,202406,28245,18910920.0,670.72
313680,202406,658,447842.0,680.61
313690,202406,409,271244.0,664.81
313695,202406,980,668329.0,681.97
313700,202406,2397,1676924.0,699.59
313710,202406,713,465249.0,653.44
313720,202406,2972,1989733.0,669.49
313730,202406,694,466552.0,674.21
313740,202406,918,651044.0,709.97
313750,202406,1441,986243.0,684.42
313753,202406,819,540509.0,659.96
313760,202406,3714,2451020.0,659.94
313770,202406,3126,2195425.0,702.99
313780,202406,1876,1251105.0,668.33
313790,202406,413,268398.0,649.87
313800,202406,617,393256.0,639.44
313810,202406,1167,771149.0,660.8
313820,202406,5362,3488913.0,650.92
313830,202406,214,146487.0,684.52
313835,202406,449,292058.0,650.46
313840,202406,3715,2495140.0,672.91
313850,202406,518,330072.0,643.42
