ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
421110,200609,511,31140.0
421120,200609,334,15577.0
421125,200609,107,4523.0
421130,200609,1286,68001.0
421140,200609,105,5366.0
421145,200609,201,14648.0
421150,200609,187,8394.0
421160,200609,140,7395.0
421165,200609,98,6084.0
421170,200609,483,22977.0
421175,200609,455,23138.0
421180,200609,186,9748.0
421185,200609,130,7724.0
421187,200609,98,5917.0
421189,200609,142,7856.0
421190,200609,2248,138635.0
421200,200609,415,30323.0
421205,200609,106,6622.0
421210,200609,637,35106.0
421220,200609,793,51733.0
421223,200609,277,19913.0
421225,200609,280,18134.0
421227,200609,360,23807.0
421230,200609,242,13198.0
421240,200609,193,7395.0
421250,200609,327,16202.0
421260,200609,78,4342.0
421265,200609,,
421270,200609,167,9139.0
421280,200609,324,16402.0
421290,200609,404,22536.0
421300,200609,87,4273.0
421310,200609,186,8965.0
421315,200609,88,5426.0
421320,200609,204,9076.0
421330,200609,318,15713.0
421335,200609,152,8582.0
421340,200609,576,33539.0
421350,200609,319,13680.0
421360,200609,1115,64381.0
421370,200609,484,26799.0
421380,200609,352,22212.0
421390,200609,51,3065.0
421400,200609,160,6951.0
421410,200609,118,4905.0
421415,200609,114,7309.0
421420,200609,459,28018.0
421430,200609,99,3803.0
421440,200609,197,10608.0
421450,200609,297,15164.0
421460,200609,132,6498.0
421470,200609,178,9448.0
421480,200609,955,50125.0
421490,200609,91,3993.0
421500,200609,792,42283.0
421505,200609,158,8640.0
421507,200609,284,16457.0
421510,200609,169,8509.0
421520,200609,360,24990.0
421530,200609,127,6544.0
421535,200609,227,17103.0
421540,200609,113,6136.0
421545,200609,212,10705.0
421550,200609,633,30880.0
421555,200609,154,9527.0
421560,200609,42,1860.0
421565,200609,353,18070.0
421567,200609,459,27283.0
421568,200609,191,12209.0
421569,200609,92,5487.0
421570,200609,378,17055.0
421575,200609,162,11528.0
421580,200609,1099,55462.0
421590,200609,127,6567.0
421600,200609,250,14203.0
421605,200609,213,13128.0
421610,200609,522,31212.0
421620,200609,983,53043.0
421625,200609,223,11964.0
421630,200609,369,16835.0
421635,200609,96,4808.0
421640,200609,473,23108.0
421650,200609,1079,44404.0
421660,200609,2426,122408.0
421670,200609,455,28776.0
421680,200609,782,42676.0
421690,200609,729,37225.0
421700,200609,145,7167.0
421710,200609,128,6290.0
421715,200609,118,7907.0
421720,200609,981,54143.0
421725,200609,41,2146.0
421730,200609,240,15248.0
